{'loss': 0.8637, 'learning_rate': 4.35593802541898e-05, 'epoch': 0.5}
{'loss': 0.8623, 'learning_rate': 4.344638692531593e-05, 'epoch': 0.51}
{'loss': 0.8644, 'learning_rate': 4.3333393596442067e-05, 'epoch': 0.51}
{'loss': 0.8652, 'learning_rate': 4.3220400267568205e-05, 'epoch': 0.52}
{'loss': 0.8632, 'learning_rate': 4.3107406938694336e-05, 'epoch': 0.53}
{'loss': 0.8595, 'learning_rate': 4.2994413609820474e-05, 'epoch': 0.53}
{'loss': 0.8538, 'learning_rate': 4.288142028094662e-05, 'epoch': 0.54}
{'loss': 0.8553, 'learning_rate': 4.276842695207276e-05, 'epoch': 0.54}
{'loss': 0.8569, 'learning_rate': 4.265543362319889e-05, 'epoch': 0.55}
{'loss': 0.8535, 'learning_rate': 4.254244029432503e-05, 'epoch': 0.56}
{'loss': 0.8485, 'learning_rate': 4.2429446965451165e-05, 'epoch': 0.56}
{'loss': 0.847, 'learning_rate': 4.2316453636577297e-05, 'epoch': 0.57}
{'loss': 0.8476, 'learning_rate': 4.2203460307703435e-05, 'epoch': 0.58}
{'loss': 0.8461, 'learning_rate': 4.209046697882957e-05, 'epoch': 0.58}
{'loss': 0.8445, 'learning_rate': 4.1977473649955704e-05, 'epoch': 0.59}
{'loss': 0.8458, 'learning_rate': 4.186448032108184e-05, 'epoch': 0.6}
{'loss': 0.8414, 'learning_rate': 4.175148699220798e-05, 'epoch': 0.6}
{'loss': 0.8344, 'learning_rate': 4.163849366333412e-05, 'epoch': 0.61}
{'loss': 0.8399, 'learning_rate': 4.152550033446026e-05, 'epoch': 0.62}
{'loss': 0.8372, 'learning_rate': 4.1412507005586395e-05, 'epoch': 0.62}
{'loss': 0.837, 'learning_rate': 4.129951367671253e-05, 'epoch': 0.63}
{'loss': 0.8339, 'learning_rate': 4.1186520347838665e-05, 'epoch': 0.64}
{'loss': 0.8298, 'learning_rate': 4.10735270189648e-05, 'epoch': 0.64}
