{'loss': 12.8096, 'learning_rate': 2.5e-05, 'epoch': 0.01}
{'loss': 2.739, 'learning_rate': 0.0004368367862556847, 'epoch': 0.49}
{'loss': 2.731, 'learning_rate': 0.0004357662233108658, 'epoch': 0.49}
{'loss': 2.7398, 'learning_rate': 0.0004346956603660469, 'epoch': 0.5}
{'loss': 2.7343, 'learning_rate': 0.00043362509742122797, 'epoch': 0.51}
{'loss': 2.7318, 'learning_rate': 0.0004325545344764091, 'epoch': 0.51}
{'loss': 2.7256, 'learning_rate': 0.0004314839715315902, 'epoch': 0.52}
{'loss': 2.7282, 'learning_rate': 0.0004304134085867713, 'epoch': 0.52}
{'loss': 2.728, 'learning_rate': 0.0004293428456419524, 'epoch': 0.53}
{'loss': 2.727, 'learning_rate': 0.0004282722826971335, 'epoch': 0.54}
{'loss': 2.7181, 'learning_rate': 0.0004272017197523146, 'epoch': 0.54}
{'loss': 2.7138, 'learning_rate': 0.00042613115680749565, 'epoch': 0.55}
{'loss': 2.7188, 'learning_rate': 0.00042506059386267675, 'epoch': 0.55}
{'loss': 2.7242, 'learning_rate': 0.00042399003091785786, 'epoch': 0.56}
{'loss': 2.7175, 'learning_rate': 0.0004229194679730389, 'epoch': 0.57}
{'loss': 2.7151, 'learning_rate': 0.00042184890502822007, 'epoch': 0.57}
{'loss': 2.7089, 'learning_rate': 0.00042077834208340117, 'epoch': 0.58}
{'loss': 2.7182, 'learning_rate': 0.0004197077791385823, 'epoch': 0.59}
{'loss': 2.7124, 'learning_rate': 0.00041863721619376333, 'epoch': 0.59}
{'loss': 2.7173, 'learning_rate': 0.00041756665324894443, 'epoch': 0.6}
{'loss': 2.7075, 'learning_rate': 0.00041649609030412554, 'epoch': 0.6}
{'loss': 2.7138, 'learning_rate': 0.0004154255273593066, 'epoch': 0.61}
{'loss': 2.7051, 'learning_rate': 0.00041435496441448775, 'epoch': 0.62}
{'loss': 2.7096, 'learning_rate': 0.00041328440146966885, 'epoch': 0.62}
{'loss': 2.7043, 'learning_rate': 0.0004122138385248499, 'epoch': 0.63}
{'loss': 2.7098, 'learning_rate': 0.000411143275580031, 'epoch': 0.63}
{'loss': 2.7006, 'learning_rate': 0.0004100727126352121, 'epoch': 0.64}
{'loss': 2.7026, 'learning_rate': 0.0004090021496903932, 'epoch': 0.65}
{'loss': 2.6998, 'learning_rate': 0.00040793158674557427, 'epoch': 0.65}
{'loss': 2.6965, 'learning_rate': 0.0004068610238007554, 'epoch': 0.66}
{'loss': 2.6981, 'learning_rate': 0.00040579046085593653, 'epoch': 0.67}
{'loss': 2.6996, 'learning_rate': 0.0004047198979111176, 'epoch': 0.67}
{'loss': 2.6997, 'learning_rate': 0.0004036493349662987, 'epoch': 0.68}
{'loss': 2.7029, 'learning_rate': 0.0004025787720214798, 'epoch': 0.68}
{'loss': 2.6974, 'learning_rate': 0.00040150820907666084, 'epoch': 0.69}
{'loss': 2.6962, 'learning_rate': 0.00040043764613184195, 'epoch': 0.7}
{'loss': 2.6937, 'learning_rate': 0.0003993670831870231, 'epoch': 0.7}
{'loss': 2.691, 'learning_rate': 0.0003982965202422042, 'epoch': 0.71}
{'loss': 2.6905, 'learning_rate': 0.00039722595729738526, 'epoch': 0.71}
{'loss': 2.695, 'learning_rate': 0.00039615539435256637, 'epoch': 0.72}
{'loss': 2.6919, 'learning_rate': 0.00039508483140774747, 'epoch': 0.73}
{'loss': 2.6866, 'learning_rate': 0.0003940142684629285, 'epoch': 0.73}
{'loss': 2.6866, 'learning_rate': 0.00039294370551810963, 'epoch': 0.74}
{'loss': 2.6906, 'learning_rate': 0.0003918731425732908, 'epoch': 0.75}
{'loss': 2.6838, 'learning_rate': 0.00039080257962847184, 'epoch': 0.75}
{'loss': 2.6857, 'learning_rate': 0.00038973201668365294, 'epoch': 0.76}
{'loss': 2.6883, 'learning_rate': 0.00038866145373883405, 'epoch': 0.76}
{'loss': 2.6881, 'learning_rate': 0.00038759089079401515, 'epoch': 0.77}
{'loss': 2.6837, 'learning_rate': 0.0003865203278491962, 'epoch': 0.78}
{'loss': 2.6805, 'learning_rate': 0.0003854497649043773, 'epoch': 0.78}
{'loss': 2.686, 'learning_rate': 0.00038437920195955847, 'epoch': 0.79}
{'loss': 2.6834, 'learning_rate': 0.0003833086390147395, 'epoch': 0.79}
{'loss': 2.6769, 'learning_rate': 0.0003822380760699206, 'epoch': 0.8}
{'loss': 2.6726, 'learning_rate': 0.0003811675131251017, 'epoch': 0.81}
{'loss': 2.6802, 'learning_rate': 0.0003800969501802828, 'epoch': 0.81}
{'loss': 2.6821, 'learning_rate': 0.0003790263872354639, 'epoch': 0.82}
{'loss': 2.6764, 'learning_rate': 0.000377955824290645, 'epoch': 0.83}
{'loss': 2.6725, 'learning_rate': 0.00037688526134582615, 'epoch': 0.83}
{'loss': 2.6704, 'learning_rate': 0.0003758146984010072, 'epoch': 0.84}
{'loss': 2.6812, 'learning_rate': 0.0003747441354561883, 'epoch': 0.84}
{'loss': 2.6747, 'learning_rate': 0.0003736735725113694, 'epoch': 0.85}
{'loss': 2.6757, 'learning_rate': 0.00037260300956655046, 'epoch': 0.86}
{'loss': 2.6699, 'learning_rate': 0.00037153244662173156, 'epoch': 0.86}
{'loss': 2.6694, 'learning_rate': 0.00037046188367691267, 'epoch': 0.87}
{'loss': 2.6708, 'learning_rate': 0.00036939132073209377, 'epoch': 0.87}
{'loss': 2.6711, 'learning_rate': 0.0003683207577872749, 'epoch': 0.88}
{'loss': 2.671, 'learning_rate': 0.000367250194842456, 'epoch': 0.89}
{'loss': 2.6714, 'learning_rate': 0.0003661796318976371, 'epoch': 0.89}
{'loss': 2.6701, 'learning_rate': 0.00036510906895281814, 'epoch': 0.9}
{'loss': 2.6712, 'learning_rate': 0.00036403850600799924, 'epoch': 0.91}
{'loss': 2.6702, 'learning_rate': 0.00036296794306318035, 'epoch': 0.91}
{'loss': 2.6695, 'learning_rate': 0.00036189738011836145, 'epoch': 0.92}
{'loss': 2.6705, 'learning_rate': 0.00036082681717354256, 'epoch': 0.92}
{'loss': 2.6672, 'learning_rate': 0.00035975625422872366, 'epoch': 0.93}
{'loss': 2.6677, 'learning_rate': 0.0003586856912839047, 'epoch': 0.94}
{'loss': 2.6638, 'learning_rate': 0.0003576151283390858, 'epoch': 0.94}
{'loss': 2.67, 'learning_rate': 0.0003565445653942669, 'epoch': 0.95}
{'loss': 2.6627, 'learning_rate': 0.0003554740024494481, 'epoch': 0.95}
{'loss': 2.6669, 'learning_rate': 0.00035440343950462913, 'epoch': 0.96}
{'loss': 2.6619, 'learning_rate': 0.00035333287655981024, 'epoch': 0.97}
{'loss': 2.6649, 'learning_rate': 0.00035226231361499134, 'epoch': 0.97}
{'loss': 2.6658, 'learning_rate': 0.0003511917506701724, 'epoch': 0.98}
{'loss': 2.6623, 'learning_rate': 0.0003501211877253535, 'epoch': 0.99}
{'loss': 2.6582, 'learning_rate': 0.0003490506247805346, 'epoch': 0.99}
{'loss': 2.6598, 'learning_rate': 0.00034798006183571565, 'epoch': 1.0}
{'loss': 2.6601, 'learning_rate': 0.0003469094988908968, 'epoch': 1.0}
{'loss': 2.6609, 'learning_rate': 0.0003458389359460779, 'epoch': 1.01}
{'loss': 2.6554, 'learning_rate': 0.000344768373001259, 'epoch': 1.02}
{'loss': 2.6619, 'learning_rate': 0.00034369781005644007, 'epoch': 1.02}
{'loss': 2.6538, 'learning_rate': 0.0003426272471116212, 'epoch': 1.03}
{'loss': 2.6583, 'learning_rate': 0.0003415566841668023, 'epoch': 1.03}
{'loss': 2.655, 'learning_rate': 0.0003404861212219834, 'epoch': 1.04}
{'loss': 2.6532, 'learning_rate': 0.0003394155582771645, 'epoch': 1.05}
{'loss': 2.6522, 'learning_rate': 0.0003383449953323456, 'epoch': 1.05}
{'loss': 2.6546, 'learning_rate': 0.00033727443238752665, 'epoch': 1.06}
{'loss': 2.657, 'learning_rate': 0.00033620386944270775, 'epoch': 1.07}
{'loss': 2.6564, 'learning_rate': 0.00033513330649788885, 'epoch': 1.07}
{'loss': 2.6532, 'learning_rate': 0.00033406274355306996, 'epoch': 1.08}
{'loss': 2.6553, 'learning_rate': 0.00033299218060825106, 'epoch': 1.08}
{'loss': 2.6563, 'learning_rate': 0.00033192161766343217, 'epoch': 1.09}
{'loss': 2.6501, 'learning_rate': 0.0003308510547186133, 'epoch': 1.1}
{'loss': 2.649, 'learning_rate': 0.0003297804917737943, 'epoch': 1.1}
{'loss': 2.6531, 'learning_rate': 0.00032870992882897543, 'epoch': 1.11}
{'loss': 2.6531, 'learning_rate': 0.00032763936588415653, 'epoch': 1.11}
{'loss': 2.6534, 'learning_rate': 0.0003265688029393376, 'epoch': 1.12}
{'loss': 2.6481, 'learning_rate': 0.00032549823999451874, 'epoch': 1.13}
{'loss': 2.6513, 'learning_rate': 0.00032442767704969985, 'epoch': 1.13}
{'loss': 2.6428, 'learning_rate': 0.00032335711410488095, 'epoch': 1.14}
{'loss': 2.6512, 'learning_rate': 0.000322286551160062, 'epoch': 1.15}
{'loss': 2.6467, 'learning_rate': 0.0003212159882152431, 'epoch': 1.15}
{'loss': 2.6501, 'learning_rate': 0.0003201454252704242, 'epoch': 1.16}
{'loss': 2.6449, 'learning_rate': 0.00031907486232560526, 'epoch': 1.16}
{'loss': 2.6413, 'learning_rate': 0.0003180042993807864, 'epoch': 1.17}
{'loss': 2.6498, 'learning_rate': 0.00031693373643596753, 'epoch': 1.18}
{'loss': 2.642, 'learning_rate': 0.0003158631734911486, 'epoch': 1.18}
{'loss': 2.6422, 'learning_rate': 0.0003147926105463297, 'epoch': 1.19}
{'loss': 2.646, 'learning_rate': 0.0003137220476015108, 'epoch': 1.19}
{'loss': 2.64, 'learning_rate': 0.0003126514846566919, 'epoch': 1.2}
{'loss': 2.6457, 'learning_rate': 0.00031158092171187294, 'epoch': 1.21}
{'loss': 2.6408, 'learning_rate': 0.0003105103587670541, 'epoch': 1.21}
{'loss': 2.6403, 'learning_rate': 0.0003094397958222352, 'epoch': 1.22}
{'loss': 2.6478, 'learning_rate': 0.00030836923287741626, 'epoch': 1.23}
{'loss': 2.6365, 'learning_rate': 0.00030729866993259736, 'epoch': 1.23}
{'loss': 2.6396, 'learning_rate': 0.00030622810698777847, 'epoch': 1.24}
{'loss': 2.6453, 'learning_rate': 0.0003051575440429595, 'epoch': 1.24}
{'loss': 2.6456, 'learning_rate': 0.0003040869810981406, 'epoch': 1.25}
{'loss': 2.6396, 'learning_rate': 0.0003030164181533218, 'epoch': 1.26}
{'loss': 2.6354, 'learning_rate': 0.0003019458552085029, 'epoch': 1.26}
{'loss': 2.6349, 'learning_rate': 0.00030087529226368394, 'epoch': 1.27}
{'loss': 2.6364, 'learning_rate': 0.00029980472931886504, 'epoch': 1.28}
{'loss': 2.6356, 'learning_rate': 0.00029873416637404615, 'epoch': 1.28}
{'loss': 2.6398, 'learning_rate': 0.0002976636034292272, 'epoch': 1.29}
{'loss': 2.6372, 'learning_rate': 0.0002965930404844083, 'epoch': 1.29}
{'loss': 2.6357, 'learning_rate': 0.00029552247753958946, 'epoch': 1.3}
{'loss': 2.6404, 'learning_rate': 0.0002944519145947705, 'epoch': 1.31}
{'loss': 2.6363, 'learning_rate': 0.0002933813516499516, 'epoch': 1.31}
{'loss': 2.6354, 'learning_rate': 0.0002923107887051327, 'epoch': 1.32}
{'loss': 2.6391, 'learning_rate': 0.00029124022576031383, 'epoch': 1.32}
{'loss': 2.6348, 'learning_rate': 0.0002901696628154949, 'epoch': 1.33}
{'loss': 2.6395, 'learning_rate': 0.000289099099870676, 'epoch': 1.34}
{'loss': 2.6299, 'learning_rate': 0.00028802853692585714, 'epoch': 1.34}
{'loss': 2.6371, 'learning_rate': 0.0002869579739810382, 'epoch': 1.35}
{'loss': 2.625, 'learning_rate': 0.0002858874110362193, 'epoch': 1.36}
{'loss': 2.6344, 'learning_rate': 0.0002848168480914004, 'epoch': 1.36}
{'loss': 2.6331, 'learning_rate': 0.00028374628514658145, 'epoch': 1.37}
{'loss': 2.6323, 'learning_rate': 0.00028267572220176256, 'epoch': 1.37}
{'loss': 2.6239, 'learning_rate': 0.00028160515925694366, 'epoch': 1.38}
{'loss': 2.6281, 'learning_rate': 0.0002805345963121248, 'epoch': 1.39}
{'loss': 2.6335, 'learning_rate': 0.0002794640333673059, 'epoch': 1.39}
{'loss': 2.6294, 'learning_rate': 0.000278393470422487, 'epoch': 1.4}
{'loss': 2.6276, 'learning_rate': 0.0002773229074776681, 'epoch': 1.4}
{'loss': 2.6345, 'learning_rate': 0.00027625234453284913, 'epoch': 1.41}
{'loss': 2.629, 'learning_rate': 0.00027518178158803024, 'epoch': 1.42}
{'loss': 2.636, 'learning_rate': 0.00027411121864321134, 'epoch': 1.42}
{'loss': 2.6318, 'learning_rate': 0.00027304065569839245, 'epoch': 1.43}
{'loss': 2.6309, 'learning_rate': 0.00027197009275357355, 'epoch': 1.44}
{'loss': 2.6266, 'learning_rate': 0.00027089952980875466, 'epoch': 1.44}
{'loss': 2.6288, 'learning_rate': 0.00026982896686393576, 'epoch': 1.45}
{'loss': 2.6302, 'learning_rate': 0.0002687584039191168, 'epoch': 1.45}
{'loss': 2.6304, 'learning_rate': 0.0002676878409742979, 'epoch': 1.46}
{'loss': 2.6272, 'learning_rate': 0.000266617278029479, 'epoch': 1.47}
{'loss': 2.6223, 'learning_rate': 0.00026554671508466013, 'epoch': 1.47}
{'loss': 2.6286, 'learning_rate': 0.00026447615213984123, 'epoch': 1.48}
{'loss': 2.6338, 'learning_rate': 0.00026340558919502234, 'epoch': 1.48}
{'loss': 2.6318, 'learning_rate': 0.0002623350262502034, 'epoch': 1.49}
{'loss': 2.6285, 'learning_rate': 0.0002612644633053845, 'epoch': 1.5}
{'loss': 2.628, 'learning_rate': 0.0002601939003605656, 'epoch': 1.5}
{'loss': 2.6278, 'learning_rate': 0.0002591233374157467, 'epoch': 1.51}
{'loss': 2.627, 'learning_rate': 0.0002580527744709278, 'epoch': 1.52}
{'loss': 2.6262, 'learning_rate': 0.0002569822115261089, 'epoch': 1.52}
{'loss': 2.6209, 'learning_rate': 0.00025591164858129, 'epoch': 1.53}
{'loss': 2.6281, 'learning_rate': 0.00025484108563647107, 'epoch': 1.53}
{'loss': 2.6247, 'learning_rate': 0.00025377052269165217, 'epoch': 1.54}
{'loss': 2.6218, 'learning_rate': 0.0002526999597468333, 'epoch': 1.55}
{'loss': 2.6223, 'learning_rate': 0.00025162939680201433, 'epoch': 1.55}
{'loss': 2.6207, 'learning_rate': 0.0002505588338571955, 'epoch': 1.56}
{'loss': 2.618, 'learning_rate': 0.0002494882709123766, 'epoch': 1.56}
{'loss': 2.6192, 'learning_rate': 0.00024841770796755764, 'epoch': 1.57}
{'loss': 2.6254, 'learning_rate': 0.00024734714502273875, 'epoch': 1.58}
{'loss': 2.6176, 'learning_rate': 0.00024627658207791985, 'epoch': 1.58}
{'loss': 2.6179, 'learning_rate': 0.00024520601913310096, 'epoch': 1.59}
{'loss': 2.6262, 'learning_rate': 0.00024413545618828206, 'epoch': 1.6}
{'loss': 2.6177, 'learning_rate': 0.00024306489324346314, 'epoch': 1.6}
{'loss': 2.6215, 'learning_rate': 0.00024199433029864424, 'epoch': 1.61}
{'loss': 2.6213, 'learning_rate': 0.00024092376735382535, 'epoch': 1.61}
{'loss': 2.6204, 'learning_rate': 0.00023985320440900643, 'epoch': 1.62}
